Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-03-03T14:05:05.257Z","Included","auto","No","0","485","52224","583","53292","Included"
"2026-03-03T14:04:08.281Z","Included","auto","No","0","1065","103808","306","105179","Included"
"2026-03-03T14:00:34.195Z","Included","auto","No","0","7859","147456","531","155846","Included"
"2026-03-03T13:56:39.284Z","Included","auto","No","0","84825","327040","2867","414732","Included"
"2026-03-03T13:44:56.592Z","Included","auto","No","0","109841","1130240","13882","1253963","Included"
"2026-03-03T13:40:57.620Z","Included","auto","No","0","71337","491904","7603","570844","Included"
"2026-03-03T13:39:49.363Z","Included","auto","No","0","8676","28928","740","38344","Included"
"2026-02-28T17:17:50.461Z","Included","auto","No","0","229","216576","213","217018","Included"
"2026-02-28T17:14:57.168Z","Included","auto","No","0","2198","416256","7465","425919","Included"
"2026-02-28T17:11:49.253Z","Included","auto","No","0","88584","393760","5287","487631","Included"
"2026-02-28T17:09:16.465Z","Included","auto","No","0","74511","456256","6443","537210","Included"
"2026-02-28T16:32:29.571Z","Included","auto","No","0","4096","162944","404","167444","Included"
"2026-02-28T16:31:11.587Z","Included","auto","No","0","22420","777664","4586","804670","Included"
"2026-02-28T16:23:39.310Z","Included","auto","No","0","8171","433408","2998","444577","Included"
"2026-02-28T16:11:48.134Z","Included","auto","No","0","9234","137024","1429","147687","Included"
"2026-02-28T16:10:43.770Z","Included","auto","No","0","6702","137056","1687","145445","Included"
"2026-02-28T16:09:28.293Z","Included","auto","No","0","23401","508160","3967","535528","Included"
"2026-02-28T16:06:08.557Z","Included","auto","No","0","58341","242720","1600","302661","Included"
"2026-02-28T15:56:12.571Z","Included","auto","No","0","92033","1046752","12015","1150800","Included"
"2026-02-28T15:10:50.486Z","Included","claude-4.6-opus-high-thinking","No","51053","20","605787","7065","663925","Included"
"2026-02-28T15:07:13.635Z","Included","composer-1","No","0","8997","56416","2308","67721","Included"
"2026-02-28T15:07:10.977Z","Included","composer-1","No","0","22391","47232","2024","71647","Included"
"2026-02-28T15:07:07.975Z","Included","composer-1","No","0","10912","28480","1884","41276","Included"
"2026-02-28T15:07:01.007Z","Included","claude-4.6-opus-high-thinking","No","22890","4","19358","1394","43646","Included"
"2026-02-28T15:03:49.486Z","Included","auto","No","0","14149","33184","1538","48871","Included"
"2026-02-28T15:00:30.480Z","Included","auto","No","0","12178","1699072","9450","1720700","Included"
"2026-02-28T14:57:14.649Z","Included","auto","No","0","48396","1970464","13241","2032101","Included"
"2026-02-28T14:55:33.573Z","Included","auto","No","0","31143","675328","5207","711678","Included"
"2026-02-28T14:53:08.031Z","Included","auto","No","0","14374","1044192","4583","1063149","Included"
"2026-02-28T14:51:40.076Z","Included","auto","No","0","5570","500640","2479","508689","Included"
"2026-02-28T14:50:46.824Z","Included","auto","No","0","6358","485248","946","492552","Included"
"2026-02-28T14:49:38.436Z","Included","auto","No","0","7538","594496","1692","603726","Included"
"2026-02-28T14:48:27.887Z","Included","auto","No","0","23226","903136","2963","929325","Included"
"2026-02-28T14:48:09.980Z","Included","auto","No","0","490","111552","69","112111","Included"
"2026-02-28T14:46:21.843Z","Included","auto","No","0","10503","543904","1122","555529","Included"
"2026-02-28T14:43:01.197Z","Included","auto","No","0","92353","1173383","11851","1277587","Included"
"2026-02-28T14:39:43.360Z","Included","auto","No","0","30434","1071072","5857","1107363","Included"
"2026-02-28T14:35:38.810Z","Included","auto","No","0","3772","495264","1710","500746","Included"
"2026-02-28T14:34:30.770Z","Included","auto","No","0","15976","574048","5136","595160","Included"
"2026-02-28T14:31:36.034Z","Included","auto","No","0","157658","1282528","13977","1454163","Included"
"2026-02-28T14:30:26.969Z","Included","auto","No","0","36444","915200","7974","959618","Included"
"2026-02-28T14:28:57.314Z","Included","auto","No","0","38372","691136","1955","731463","Included"
"2026-02-28T14:24:20.771Z","Included","auto","No","0","89153","3316416","21862","3427431","Included"
"2026-02-28T14:21:45.616Z","Included","claude-4.6-opus-high-thinking","No","139013","60794","807060","8022","1014889","Included"
"2026-02-28T14:15:12.763Z","Included","auto","No","0","104591","1149216","11414","1265221","Included"
"2026-02-28T14:06:42.471Z","Included","auto","No","0","190081","2966752","39847","3196680","Included"
"2026-02-28T14:02:39.033Z","Included","composer-1","No","0","22291","22400","1695","46386","Included"
"2026-02-28T14:02:27.958Z","Included","claude-4.6-opus-high-thinking","No","29772","31608","99957","7710","169047","Included"
